token_id,branch_name,status
T0001,Central Branch,waiting
T0002,Central Branch,waiting
T0003,Central Branch,waiting
T0004,Central Branch,waiting
T0005,Central Branch,waiting
T0006,Central Branch,waiting
T0007,Central Branch,waiting
T0008,Central Branch,waiting
T0009,Central Branch,waiting
T0010,Central Branch,waiting
T0011,Central Branch,waiting
T0012,Central Branch,waiting
T0013,Central Branch,waiting
T0014,Central Branch,waiting
T0015,Central Branch,waiting
T0016,Central Branch,waiting
T0017,Central Branch,waiting
T0018,Central Branch,waiting
T0019,Central Branch,waiting
T0020,Central Branch,waiting
T0021,Central Branch,waiting
T0022,Central Branch,waiting
T0023,Central Branch,waiting
T0024,Central Branch,waiting
T0025,Central Branch,waiting
T0026,Central Branch,waiting
T0027,Central Branch,waiting
T0028,Central Branch,waiting
T0029,Lake View Branch,waiting
T0030,Lake View Branch,waiting
T0031,Lake View Branch,waiting
T0032,Lake View Branch,waiting
T0033,Lake View Branch,waiting
T0034,Lake View Branch,waiting
T0035,Lake View Branch,waiting
T0036,Lake View Branch,waiting
T0037,Lake View Branch,waiting
T0038,Tech Park Branch,waiting
T0039,Tech Park Branch,waiting
T0040,Tech Park Branch,waiting
T0041,Tech Park Branch,waiting
T0042,Tech Park Branch,waiting
T0043,Tech Park Branch,waiting
T0044,Tech Park Branch,waiting
T0045,Tech Park Branch,waiting
T0046,Tech Park Branch,waiting
T0047,Tech Park Branch,waiting
T0048,Tech Park Branch,waiting
T0049,Tech Park Branch,waiting
T0050,Tech Park Branch,waiting
T0051,Tech Park Branch,waiting
T0052,Tech Park Branch,waiting
T0053,Tech Park Branch,waiting
T0054,Tech Park Branch,waiting
T0055,Tech Park Branch,waiting
